hebrew,english
שלום,Hello
כלב,Dog
חתול,Cat
מים,Water
ספר,Book
כיסא,Chair
שולחן,Table
דלת,Door
חלון,Window
בית,House
עץ,Tree
שמש,Sun
ירח,Moon
כוכב,Star
ים,Sea
נהר,River
אדמה,Earth
שמיים,Sky
רוח,Wind
גשם,Rain
שלג,Snow
חול,Sand
רכב,Car
אופניים,Bicycle
מטוס,Airplane
אוטובוס,Bus
רכבת,Train
מעלית,Elevator
כביש,Road
גשר,Bridge
מחשב,Computer
טלפון,Phone
עכבר,Mouse
מקלדת,Keyboard
מסך,Screen
עט,Pen
עיפרון,Pencil
נייר,Paper
מחברת,Notebook
תיק,Bag
בגד,Clothes
כובע,Hat
נעל,Shoe
גרב,Sock
מכנסיים,Pants
חולצה,Shirt
שמלה,Dress
מעיל,Coat
צעיף,Scarf
שעון,Watch
אוכל,Food
לחם,Bread
חמאה,Butter
חלב,Milk
בשר,Meat
דג,Fish
ביצה,Egg
פירות,Fruits
ירקות,Vegetables
תפוח,Apple
בננה,Banana
ענב,Grape
אגס,Pear
תפוז,Orange
מלון,Melon
עוגה,Cake
סוכר,Sugar
מלח,Salt
פלפל,Pepper
דבש,Honey
שוקולד,Chocolate
גלידה,Ice Cream
עוגייה,Cookie
קפה,Coffee
תה,Tea
חדר,Room
סלון,Living Room
מטבח,Kitchen
חדר שינה,Bedroom
שירותים,Bathroom
מיטה,Bed
כסא,Chair
שולחן כתיבה,Desk
ספה,Sofa
מנורה,Lamp
טלוויזיה,Television
רדיו,Radio
שעון קיר,Wall Clock
מראה,Mirror
שטיח,Carpet
עיר,City
כפר,Village
רחוב,Street
חנות,Shop
שוק,Market
ספריה,Library
בית ספר,School
אוניברסיטה,University
חצר,Yard
פארק,Park
